Abelia
Chicory
Chilean Potato Vine
Chili Pepper
China Doll
Chinese Cabbage
Chinese Forget-Me-Not
Chinese Lantern
Chionodoxa
Chives
Christmas Cactus
Chrysanthemum
Cineraria
Cinquefoil
Cistus
Citrus Fruits
Citrus Tree
Clarkia
Clematis
Clivia
Clover
Cogongrass
Coleus
Coltsfoot
Columbine
Comfrey
Common Fleabane
Common Heliotrope
Common Knotweed
Coneflower
Cordyline
Coreopsis
Coriander
Corn Marigold
Corn Salad
Corn on the Cob
Corncockle
Cornflower
Cosmos
Cotoneaster
Cotton Lavender
Couch Grass
Courgette
Cow Parsley
Cow Parsnip
Cowslip
Crab Apple
Cranberry
Cranesbill Geranium
Crape Myrtle
Creeping Jenny
Creeping Thistle
Creeping Yellowcress
Creeping Zinnia
Cress
Crocus
Crossandra
Crosswort
Croton
Crown Imperial Fritillary
Crown of Thorns
Cuckoo Flower
Cucumber
Cuphea
Curry Plant
Cyclamen
Daffodil
Dahlia
Daisy
Daisy
Daisy Bush
Dame's Violet
Dandelion
Daphne
Datura
Day Lily
Deadly Nightshade
Deadnettle
Delphinium
Desert Willow
Deutzia
Dianthus
Diascia
Dill
Dock
Dog's Mercury
Dogwood
Dracaena
Dropwort
Duckweed
Dumb Cane
Easter Cactus
Echeveria
Elder
Elephant's Ear
Elephant's Ears
Elm
Elodea
Enchanter's Nightshade
Endive
Escallonia
Eucalyptus
Euonymus
Euphorbia - Garden
Euphorbia - Succulent
Euphorbia spp.
Evening Primrose
Everlasting Flower
Fairy Moss
False Castor Oil Plant
False Solomon's Seal
Fat-hen
Fennel
Ferns
Fescue Grass
Feverfew
Fiber Optic Grass
Field Madder
Field Maple
Fig Tree
Figwort
Fir
Firethorn
Fittonia
Flaming Katy
Flamingo Flower
Flax
Fleabane Daisy
Flower-of-an-Hour
Flowering Currant
Flowering Quince
Forget-Me-Not
Forsythia
Fountaingrass
Four O'Clock Flower
Fox and Cubs
Foxglove
Foxglove
Frangipani
Freesia
French Marigold
Friendship Plant
Fringecup
Fritillary
Fuchsia
Fumitory
Gallant Soldier/Shaggy Soldier
Gardenia
Garlic Mustard
Gasteria
Gayfeather
Gazania
Gentian
Geranium
Gerbera
Geum - Garden Plant
Giant Cane
Giant Hyssop
Ginkgo
Gladiolus
Globe Artichoke
Globe Thistle
Gloxinia
Goat's Beard
Goat's Rue
Golden Shrimp Plant
Goldenrod
Good King Henry
Goose Grass
Gooseberry
Gorse
Grape
Grape Hyacinth
Grape Ivy
Grape Vine
Grass Vetchling
Greater Celandine
Green Alkanet
Ground Elder
Ground Ivy
Groundsel
Gunnera
Gypsophila
Harebell
Hawk's-beard
Hawkbit
Hawkweed
Haworthia
Hawthorn
Hazel
Heartleaf Iceplant
Heath
Heather
Hebe
Hedge Mustard
Hedge Woundwort
Heliotrope
Hellebore
Hemlock
Hemp Agrimony
Hemp Nettle
Henbit
Herb Hyssop
Herb Paris
Herb Robert
Heuchera
Hibiscus
Hibiscus
Himalayan Balsam
Himalayan Honeysuckle
Hoary Cress
Hog Weed
Holly
Hollyhock
Honesty
Honeysuckle
Honeywort
Hop Clover
Hops
Hornwort
Horse Chestnut
Horseherb
Horseradish
Horsetail
Horseweed
Hosta
Hottentot Fig
House Leek
Hoya
Hyacinth
Hydrangea
Ice Plant
Ice Plant
Iceberg Lettuce
Indian Bean Tree
Iris
Iris
Ivy
Ivy Leaved Toadflax
Jacaranda
Jacob's Ladder
Jade Plant
Japanese Anemone
Japanese Knotweed
Japanese Painted Fern
Jasmine
Jerusalem Artichoke
Jerusalem Cherry
Jerusalem Sage
Juncus
Juniper
Jute Mallow
Kale
Kangaroo Apple
Kerria
Kidney Vetch
Kidney Weed
Knapweed
Knautia Macedonica
Kohlrabi
Laburnum
Lactuca sativa
Lady's Bedstraw
Lady's Mantle
Lady's Purse
Lamb's Ear
Lamb's Lettuce
Lantana
Laurel
Lavatera
Lavender
Lemon
Lemon Balm
Leopard's Bane
Lesser Celandine
Lewisia
Ligularia
Lilac
Lily
Lily Turf
Lily of the Valley
Lime
Lipstick Plant
Liquidambar
Lisianthus
Livingstone Daisy
Lobelia
London Plane
London Pride
Lords and Ladies
Lovage
Love-In-A-Mist
Love-Lies-Bleeding
Lucky Bamboo
Lupin
Lychnis
Magnolia
Mahonia
Maize
Malabar Spinach
Mallow
Malope Mallow
Maltese Cross
Mandevilla
Marguerite Daisy
Marigold
Marjoram
Marrow
Marsh Marigold
Marsh Woundwort
Mask Flower
Mazus
Meadow Rue
Meadow Vetchling
Meadowsweet
Meconopsis
Melilot
Melon
Mexican Orange Blossom
Mexican Petunia
Michaelmas Daisy
"Mignonette,"
Milk Thistle
Milk Vetch
Milkweed
Millet
Million Bells
Mimosa
Mimulus
Mind-Your-Own-Business
Miner's Lettuce
Mint
Mistletoe
Mock Orange
Monstera
Montbretia
Morning Glory
Moss Rose
Mossy Saxifrage
Mother of Pearl Plant
Mother of Thousands
Mother-in-Law's Tongue
Mountain Ash
Mountain Laurel
Mouse-ear Hawkweed
Mugwort
Mulberry Tree
Mullein
Musa acuminata; Musa balbisiana
Musa acuminata; Musa balbisiana
Mushroom
Musk Mallow
Myrtle
Nasturtium
Navelwort
Nectarine
Nectarine
Nemesia
Nerine
Nettle
Nipplewort
Oak tree
Oat
Oilseed Rape
Okra
Oleander
Olive
Onion
Opuntia Cactus
Orache
Oregano
Oriental Poppy
Osteospermum
Ox-eye Daisy
Pachyphytum Bracteosum
Paddle Plant
Pampas Grass
Panda Plant
Pansy
Parlour Palm
Parrot Feather
Parsley
Parsnip
Pasque Flower
Passion Flower
Pea
Peace Lily
Peach
Peach Tree
Pear
Pear Tree
Pearly Everlasting
Pelargonium
Pennyroyal
Penstemon
Pentas
Peony
Peperomia
Peppermint
Perennial Wall Rocket
Perilla
Periwinkle
Persian Buttercup
Persicaria
Petunia
"Phacelia,"
Pheasants Eye
Philodendron
Phlox
Photinia
Pieris
Pine
Pineapple
Pineapple Weed
Pink Purslane
Pittosporum
Plantago coronopus; Plantago maritima
Plantago lanceolata
Plantago major; Plantago media
Plum  — Fruit
"Plum — Tree,"
Plumbago
Poached Egg Plant
Poinsettia
Pokeweed
Polka Dot Plant
Pomegranate
Pomegranate Shrub
Poplar
Poppy
Potato
Potentilla atrosanguinea
Potentilla fruticosa
Prayer Plant
Prickly Lettuce
Prickly Poppy
Primrose
Primula
Privet
Prunus armeniaca; Prunus armeniaca mume
Pulmonaria
Pumpkin
Purple Bell Vine
Purple Loosestrife
Purple Loosestrife
Purpletop Vervain
Purslane
Quince
Quince Tree
Radicchio
Radish
Ragged Robin
Ragweed
Ragwort
Raspberry
Rayless Goldenrod
Red Bartsia
Red Bistort
Red Currant
Red Hot Poker
Red Leaf Lettuce
Red Maple
Red Pitaya
Red Valerian
Rest Harrow
Rhipsalis
Rhododendron
Rhubarb
Rock Cress
Rock Rose
Rocket
Rose
Rosebay Willowherb
Rosemary
Roundleaf Cranesbill Geranium
Rue
Russian Sage
Russian Vine
Safflower
Sage
Sainfoin
"Salad Burnet, Garden Burnet, Small Burnet"
Salvia
Sambucus Nigra
Saxifrage
Scabious
Scarlet Pimpernel
Scentless Mayweed
Scilla/Squill
Scotch Thistle
Scurvy Grass
Sea Holly
Seaside Daisy
Sedum
Sedum Acre
Sedum Album
Sedum Reflexum
Sedum Spurium
Self-heal
Sensitive Plant
Shasta Daisy
Shepherd's Purse
Shining Cranesbill
Shrimp Plant
Shrubby Milkwort
Silk Tree
Silky Oak
Silver Ragwort
Silver Saxifrage
Silverweed
Sisyrinchium
Skimmia
Smoke Tree
Sneezeweed
Sneezewort - Garden
Sneezewort - Wild
Snow in Summer
Snowberry
Snowdrop
Snowflake
Soapwort
Solomon's Seal
Sorrel
Sow Thistle
Spear Thistle
Speedwell
Sphagnum Moss
Spider Flower
Spider Plant
Spiked Speedwell
Spinach
Spiraea
Spotted Deadnettle
"Spotted Laurel, Japanese Laurel, Japanese Aucuba"
Spotted Spurge
Spring Starflower
Spurrey
Squash
St John's Wort
Staghorn Sumac
Star Jasmine
Statice
Stinking Mayweed
Stitchwort
Stocks
Storksbill
Strawberry
Striped Squill
Sunflower
Swede
Sweet Box
Sweet Chestnut
Sweet Pea
Sweet Pepper
Sweet Potato
Sweet Woodruff
Swinecress
Sycamore
Tamarisk
Tansy
Teasel
Three-cornered Leek
Thrift
Thyme
Tiarella
Timothy Grass
Toad Lily
Toadflax
Toadstool
Tobacco Plant
Tomato
Tradescantia
Traveller's Joy
Tree Peony
Tree Spinach
Tree of Heaven
Tropaeolum
Trumpet Vine
Tulip
Turnip
Umbrella Plant
Umbrella Tree
Valerian
Verbena
Vetch
Viburnum
Viola
Violet
Viper's Bugloss
Virginia Creeper
Wall Lettuce
Wallflower
Wallflower
Walnut tree
Wandering Jew
Water Avens
Water Chestnut
Water Hyacinth
Water Lettuce
Water Lily
Water Plantain
Watercress
Watercress
Weigela
Welsh Poppy
Wheat
White Currant
White Deadnettle
White Horehound
White Radish
Whitebeam
Wild Carrot
Wild Garlic
Wild Ginger
Wild Lettuce
Wild Radish
Wild Rose
Wild Strawberry
Willow
Willowherb
Winter Aconite
Winter Cress
Winter Heliotrope
Winter Jasmine
Wisteria
Witch Hazel
Woad
Wolfberry
Wood Anemone
Wood Avens
Wood Betony
Wood Sorrel
Yarrow
Yellow Archangel
Yellow Corydalis
Yellow Loosestrife
Yellow Rattle
Yellow Toadflax
Yellow-eyed Grass
Yew
Yucca
Zinnia
